address_id,street,city,state,zip
1,41 Dahle Junction,Yakima,WA,98907
2,9968 Schlimgen Pass,Des Moines,IA,50936
3,5921 Golden Leaf Trail,Dallas,TX,75210
4,775 Valley Edge Place,Washington,DC,20010
5,5061 Haas Pass,Myrtle Beach,SC,29579
6,7262 Waywood Crossing,Nashville,TN,37220
7,28 Wayridge Park,Louisville,KY,40287
8,9611 Fieldstone Way,Birmingham,AL,35225
9,0 Continental Terrace,Roanoke,VA,24040
10,90737 Sundown Trail,Mesa,AZ,85210
11,8 Union Place,Duluth,GA,30195
12,87181 Superior Street,Aurora,IL,60505
13,421 Hansons Avenue,Port Washington,NY,11054
14,56 Springs Point,Little Rock,AR,72209
15,74 Jay Avenue,Lancaster,PA,17622
16,450 Hansons Place,Atlanta,GA,30356
17,34 Bluejay Alley,Cleveland,OH,44177
18,4 Mesta Street,Washington,DC,20244
19,22 Cherokee Alley,Houston,TX,77005
20,5662 International Trail,Washington,DC,20231
21,47690 Vidon Terrace,Raleigh,NC,27615
22,4468 Dexter Alley,Fort Worth,TX,76105
23,523 Namekagon Circle,Philadelphia,PA,19146
24,833 Havey Circle,Sarasota,FL,34238
25,66 Maple Wood Lane,Baltimore,MD,21216
26,1911 Carioca Trail,Syracuse,NY,13217
27,56 Anthes Place,Tampa,FL,33673
28,491 Redwing Street,Levittown,PA,19058
29,4 Derek Center,Oklahoma City,OK,73135
30,095 Butterfield Court,Memphis,TN,38136
31,76930 Petterle Lane,San Antonio,TX,78278
32,8 Menomonie Junction,Richmond,VA,23293
33,12 Miller Circle,Idaho Falls,ID,83405
34,0439 Algoma Terrace,Sarasota,FL,34238
35,2 Gale Avenue,Atlanta,GA,30301
36,50517 Heffernan Place,Des Moines,IA,50310
37,5576 Huxley Center,Lawrenceville,GA,30245
38,644 Maryland Junction,Decatur,GA,30033
39,26026 Katie Center,Portland,OR,97211
40,0 Ridgeway Junction,Greensboro,NC,27455
41,06605 Swallow Trail,Paterson,NJ,07544
42,8 Iowa Trail,Virginia Beach,VA,23454
43,01 Lunder Drive,Phoenix,AZ,85020
44,5 Veith Plaza,Daytona Beach,FL,32128
45,2 Eastlawn Terrace,Lexington,KY,40586
46,83 Stoughton Crossing,Spokane,WA,99252
47,92 Stephen Lane,Madison,WI,53785
48,92434 Tennyson Drive,Chattanooga,TN,37450
49,46803 Mccormick Drive,San Jose,CA,95113
50,049 Eliot Parkway,El Paso,TX,88514
51,16984 Scofield Road,Shawnee Mission,KS,66220
52,6 Nelson Center,Spring Hill,FL,34611
53,858 Hovde Plaza,Tempe,AZ,85284
54,26 Elka Place,Birmingham,AL,35254
55,178 Bay Alley,Phoenix,AZ,85010
56,5134 Bluejay Pass,Orlando,FL,32891
57,8 Summer Ridge Center,Washington,DC,20414
58,44789 Waywood Parkway,Amarillo,TX,79159
59,61891 Bonner Avenue,Sioux Falls,SD,57188
60,02644 Old Gate Hill,Charlottesville,VA,22903
61,5989 7th Alley,New York City,NY,10150
62,67 Charing Cross Alley,Dayton,OH,45490
63,7624 Prentice Drive,Lancaster,CA,93584
64,6578 Hauk Terrace,El Paso,TX,88519
65,1 Westridge Circle,Kent,WA,98042
66,484 Stang Circle,Asheville,NC,28805
67,4059 Prairie Rose Drive,Las Vegas,NV,89125
68,246 Fallview Terrace,Anchorage,AK,99599
69,816 Granby Avenue,Jacksonville,FL,32255
70,549 Springs Road,Canton,OH,44710
71,6 Mallard Hill,Santa Fe,NM,87592
72,85 Sunbrook Center,Oxnard,CA,93034
73,38952 Shasta Road,Plano,TX,75074
74,26208 Monument Center,New Orleans,LA,70187
75,6 Tony Way,Eugene,OR,97405
76,7 Westridge Junction,Arvada,CO,80005
77,1022 Dovetail Junction,Portland,OR,97296
78,83 Butternut Place,Huntington,WV,25770
79,661 Esker Road,Cape Coral,FL,33915
80,991 Caliangt Point,San Bernardino,CA,92415
81,20 Fuller Place,Long Beach,CA,90810
82,21138 Fairview Park,Johnson City,TN,37605
83,15 Lakewood Gardens Hill,Santa Clara,CA,95054
84,6 Kim Circle,Muskegon,MI,49444
85,0433 Randy Crossing,Atlanta,GA,30316
86,35 Claremont Circle,Corpus Christi,TX,78405
87,3 Comanche Place,Provo,UT,84605
88,85561 Amoth Street,Dallas,TX,75277
89,9538 Grayhawk Junction,Meridian,MS,39305
90,0 Pleasure Trail,Abilene,TX,79699
91,61709 Express Center,Elizabeth,NJ,07208
92,8621 Eagan Terrace,Paterson,NJ,07544
93,7133 Loftsgordon Terrace,Harrisburg,PA,17126
94,789 Hayes Center,Carol Stream,IL,60158
95,388 Maple Wood Avenue,Louisville,KY,40215
96,49 Birchwood Place,San Antonio,TX,78245
97,646 Cordelia Trail,San Diego,CA,92176
98,494 Algoma Hill,Laredo,TX,78044
99,3 Little Fleur Way,Battle Creek,MI,49018
100,89 Novick Street,Hartford,CT,06120
101,2325 Lerdahl Crossing,Scranton,PA,18514
102,50 Pepper Wood Plaza,Richmond,VA,23220
103,69082 Esker Way,Staten Island,NY,10305
104,8695 Knutson Point,Greensboro,NC,27415
105,736 7th Center,Baton Rouge,LA,70836
106,32708 Luster Pass,Tacoma,WA,98447
107,050 Fremont Court,Toledo,OH,43615
108,3 Ronald Regan Place,Phoenix,AZ,85035
109,60057 Novick Place,Gainesville,FL,32610
110,0715 Lake View Road,Charlotte,NC,28247
111,4160 Straubel Way,Buffalo,NY,14215
112,360 Hudson Parkway,Dallas,TX,75216
113,7 Dawn Trail,Sacramento,CA,95813
114,29094 Elmside Pass,Peoria,IL,61640
115,72991 Bellgrove Street,Sacramento,CA,95838
116,88351 Cody Avenue,Tampa,FL,33610
117,9746 7th Avenue,Cleveland,OH,44118
118,66826 Laurel Park,Rockville,MD,20851
119,139 Quincy Plaza,Annapolis,MD,21405
120,800 New Castle Parkway,Troy,MI,48098
121,9 Darwin Junction,Billings,MT,59105
122,21 Tennyson Avenue,Los Angeles,CA,90094
123,38 Eagan Lane,Fort Worth,TX,76178
124,9264 Paget Lane,Phoenix,AZ,85030
125,4 Sutherland Alley,Minneapolis,MN,55407
126,9445 John Wall Lane,Panama City,FL,32405
127,3 Kenwood Trail,Lancaster,PA,17605
128,9 Prairie Rose Parkway,Washington,DC,20535
129,1202 Little Fleur Circle,Erie,PA,16550
130,3134 Cherokee Trail,Louisville,KY,40210
131,82 Katie Terrace,Las Vegas,NV,89105
132,0 Cody Center,Raleigh,NC,27621
133,0 Sherman Place,Saint Paul,MN,55166
134,27448 Montana Parkway,Knoxville,TN,37995
135,32528 Melvin Court,Waco,TX,76796
136,154 Hanover Avenue,San Antonio,TX,78285
137,976 Little Fleur Plaza,Fort Lauderdale,FL,33310
138,059 Eastlawn Terrace,Montgomery,AL,36177
139,6019 Starling Trail,Naples,FL,33963
140,22295 Roth Avenue,Atlanta,GA,30386
141,58432 Lake View Alley,Spring Hill,FL,34611
142,530 Del Sol Lane,Rochester,NY,14646
143,159 Messerschmidt Place,Phoenix,AZ,85077
144,84055 Forest Parkway,Miami,FL,33233
145,45 Spenser Crossing,Orlando,FL,32835
146,58 5th Pass,Davenport,IA,52809
147,79 Onsgard Circle,Lincoln,NE,68510
148,93312 Knutson Avenue,Aiken,SC,29805
149,889 Maywood Way,Denver,CO,80291
150,099 Talisman Park,Wilmington,DE,19892
151,6 Scofield Alley,Honolulu,HI,96810
152,6487 Ronald Regan Center,Boca Raton,FL,33432
153,043 Bartillon Park,Wichita,KS,67220
154,73 Merry Way,Honolulu,HI,96815
155,52690 7th Drive,Oxnard,CA,93034
156,33 Milwaukee Center,Naples,FL,34108
157,71 Heffernan Way,Scottsdale,AZ,85260
158,17 Hayes Center,Simi Valley,CA,93094
159,14516 Lakeland Road,Portsmouth,NH,03804
160,96258 Jana Point,Fort Lauderdale,FL,33336
161,877 Saint Paul Avenue,Athens,GA,30610
162,434 Hollow Ridge Street,Washington,DC,20557
163,23814 Shopko Place,Saint Louis,MO,63116
164,29106 Darwin Circle,San Diego,CA,92196
165,810 Corscot Court,Pinellas Park,FL,34665
166,785 Brentwood Place,Paterson,NJ,07544
167,936 Sycamore Trail,Tyler,TX,75705
168,14 Browning Plaza,Des Moines,IA,50320
169,793 Dakota Crossing,Saint Louis,MO,63196
170,6 Anthes Point,Seattle,WA,98121
171,3595 Messerschmidt Point,Louisville,KY,40256
